,state,action,reward,value
0,"(0, 0)",down,0.667943574432627,7.095351767068864
1,"(0, 0)",right,0.667943574432627,0.6091098557020519
2,"(0, 0)",lower-right,1.414213562373095,0.30927542249394846
3,"(0, 1)",down,0.746269987940468,0.515306266138007
4,"(0, 1)",left,-0.667943574432627,-0.07415013809688148
5,"(0, 1)",right,0.5721723425875478,0.11412646062252632
6,"(0, 1)",lower-left,-0.0,0.034861493120330454
7,"(0, 1)",lower-right,1.4031242374328485,16.383746443309317
8,"(0, 2)",down,0.8309518948453007,7.694596015034726
9,"(0, 2)",left,-0.5721723425875478,-0.04290561345056763
10,"(0, 2)",right,0.445787087710797,0.11191520830442718
11,"(0, 2)",lower-left,0.17409764535292016,0.07437254142619697
12,"(0, 2)",lower-right,1.3588159398457211,0.4621563334092031
13,"(0, 3)",down,0.9130288521349241,8.52728323514539
14,"(0, 3)",left,-0.445787087710797,-0.07566056102891569
15,"(0, 3)",right,0.28614529354171925,0.26071385238428546
16,"(0, 3)",lower-left,0.38516480713450374,0.0
17,"(0, 3)",lower-right,1.2620591815168432,0.17131054682067218
18,"(0, 4)",down,0.9759138879751239,1.250640772446318
19,"(0, 4)",left,-0.28614529354171925,-0.017734236169603356
20,"(0, 4)",right,0.09901951359278449,0.06513469731633496
21,"(0, 4)",lower-left,0.6268835585932049,0.07356864904388906
22,"(0, 4)",lower-right,1.0990195135927845,9.873490281177336
23,"(0, 5)",down,1.0,0.0
24,"(0, 5)",left,-0.09901951359278449,0.6044077767632526
25,"(0, 5)",right,-0.09901951359278449,0.015017149130608228
26,"(0, 5)",lower-left,0.8768943743823394,0.3340021125581839
27,"(0, 5)",lower-right,0.8768943743823394,7.950826594201794
28,"(0, 6)",down,0.9759138879751239,8.492779177904225
29,"(0, 6)",left,0.09901951359278449,0.4259968734297222
30,"(0, 6)",right,-0.28614529354171925,-0.054367605772926667
31,"(0, 6)",lower-left,1.0990195135927845,0.27346206764076886
32,"(0, 6)",lower-right,0.6268835585932049,0.8875133004068045
33,"(0, 7)",down,0.9130288521349241,0.5862365768515551
34,"(0, 7)",left,0.28614529354171925,0.2039180005598777
35,"(0, 7)",right,-0.445787087710797,0.022350539294520435
36,"(0, 7)",lower-left,1.2620591815168432,15.433129117918169
37,"(0, 7)",lower-right,0.38516480713450374,0.22005861299424317
38,"(0, 8)",down,0.8309518948453007,0.23581130436535652
39,"(0, 8)",left,0.445787087710797,0.05803098657555235
40,"(0, 8)",right,-0.5721723425875478,-0.016900744226472475
41,"(0, 8)",lower-left,1.3588159398457211,15.372666882763266
42,"(0, 8)",lower-right,0.17409764535292016,0.8011897510361813
43,"(0, 9)",down,0.746269987940468,0.9188597731851694
44,"(0, 9)",left,0.5721723425875478,0.0
45,"(0, 9)",lower-left,1.4031242374328485,13.745995909190698
46,"(1, 0)",up,-0.667943574432627,-0.10431906586150337
47,"(1, 0)",down,0.5721723425875478,0.23627257883821207
48,"(1, 0)",right,0.746269987940468,0.2118356749258779
49,"(1, 0)",upper-right,-0.0,0.11681678076083535
50,"(1, 0)",lower-right,1.4031242374328485,28.73661604771431
51,"(1, 1)",up,-0.746269987940468,-0.10724448869027377
52,"(1, 1)",down,0.6568542494923806,1.0301123288934242
53,"(1, 1)",left,-0.746269987940468,0.0
54,"(1, 1)",right,0.6568542494923806,0.25176588741428507
55,"(1, 1)",upper-left,-1.414213562373095,-0.3428583475930794
56,"(1, 1)",upper-right,-0.17409764535292016,0.025256493149984238
57,"(1, 1)",lower-left,-0.17409764535292016,0.0014682564013603159
58,"(1, 1)",lower-right,1.4142135623730958,14.236682435356364
59,"(1, 2)",up,-0.8309518948453007,-0.012404687429251507
60,"(1, 2)",down,0.7573593128807152,0.0
61,"(1, 2)",left,-0.6568542494923806,0.020103165150291154
62,"(1, 2)",right,0.5278640450004204,0.23254127804515773
63,"(1, 2)",upper-left,-1.4031242374328485,-0.25862486356980935
64,"(1, 2)",upper-right,-0.38516480713450374,1.3906186859434317
65,"(1, 2)",lower-left,-0.0,0.38958676076811805
66,"(1, 2)",lower-right,1.3944487245360109,39.11086108702443
67,"(1, 3)",up,-0.9130288521349241,-0.21293883248859502
68,"(1, 3)",down,0.8665846795355905,0.5155984195959932
69,"(1, 3)",left,-0.5278640450004204,-0.0680542488189206
70,"(1, 3)",right,0.349030329381919,1.0152612694209007
71,"(1, 3)",upper-left,-1.3588159398457211,-0.1220646572213304
72,"(1, 3)",upper-right,-0.6268835585932049,-0.048871419096078776
73,"(1, 3)",lower-left,0.22949526788029484,1.1819938286507186
74,"(1, 3)",lower-right,1.3098582948312,24.935052209637497
75,"(1, 4)",up,-0.9759138879751239,-0.1492953638291017
76,"(1, 4)",down,0.9608279654492811,9.40838091976828
